gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
YBX1,0.15120798998066434,0.3869421427486845,79,0.251,-0.9379732684570082,0.34984068372172517,-0.8481102628574141,0.3963765666066653,-0.048032499581345464,0.048032499581345464,0.16,0.8425,0.6082368130163268,39,28,34,1.0
DNMT1,0.5254425315544203,0.7976435278842093,185,0.251,-2.858024941943281,0.004649664278505039,-1.1487405886969262,0.2506629638823463,-0.11501048247823084,0.11501048247823084,0.35,0.625,1.0,48,19,35,1.0
PPARG,0.9955934992865654,0.9995250064824279,147,0.376,-4.794633023484866,2.766537852667006e-06,-2.7625489401468686,0.005735196298619227,-0.11861436251027327,0.11861436251027327,0.16,0.6725,1.0,50,18,36,1.0
TP53,0.08411171573173748,0.25906665225229464,85,0.251,0.4494645406313026,0.6536585138990867,1.1731160205217515,0.24074928286233088,0.03909965013040682,0.03909965013040682,0.21,0.84,0.4560349309310055,33,36,37,1.0
HDAC3,0.05643241815120481,0.19337636285177737,107,0.626,1.0242614434623822,0.30729189788963607,1.1394547099065166,0.2545135480874797,0.027270098895758453,0.027270098895758453,0.25,0.795,0.3679631195964994,31,41,38,1.0
PKNOX1,0.14164572971383227,0.3728416757724379,88,0.251,-0.7972494900478339,0.4264770359069119,-0.502985101147189,0.6149747471652965,-0.04020618447814411,0.04020618447814411,0.15,0.8175,0.5920121203143439,38,34,39,1.0
ERCC2,0.09692381331883124,0.28666618649395076,90,0.376,-0.6800076039765044,0.49750072689026537,-0.5401286163088276,0.5891083370746222,-0.028780174213148244,0.028780174213148244,0.15,0.8125,0.48816343352230746,34,40,40,1.0
CREM,0.5038899451964512,0.7789414243233053,81,0.626,-1.8225931106611255,0.07029991425050554,-1.4396981241297617,0.1499528243334587,-0.040332028429473366,0.040332028429473366,0.16,0.8375,1.0,47,33,41,1.0
HMGA1,0.118422196179545,0.32871584791606606,129,0.251,0.6140635176207747,0.5401319980518462,0.4542342374975384,0.649660242984466,0.024874582860355765,0.024874582860355765,0.28,0.7475,0.5447471164866076,37,43,42,1.0
SF1,0.11220575824474663,0.31766743287148136,98,0.126,-0.3055844808211597,0.7602658405989767,0.31107693947872306,0.7557421316601126,-0.01762977912016765,0.01762977912016765,0.22,0.81,0.5332274766057008,35,46,43,1.0
GABPB2,0.046509318248255084,0.1685024076814792,75,0.501,0.30563141960842566,0.760313838048973,0.19345580813353422,0.8466020122446722,0.004341538823540578,0.004341538823540578,0.16,0.8525,0.33557682885718315,30,51,44,1.0
HOPX,0.4167529606454334,0.7130126495616261,107,0.251,-1.2745001669287446,0.2042763721313556,-0.8512055557875506,0.39465517712511045,-0.03611016193648916,0.03611016193648916,0.17,0.775,0.9602176082921613,45,38,45,1.0
ETS1,0.19868163000100525,0.46369577441060206,140,0.501,-0.631861246919912,0.5282380864153025,-0.4345017450679179,0.6639241278710937,-0.025153427106890756,0.025153427106890756,0.22,0.705,0.7052977798478413,41,42,46,1.0
SMARCB1,0.18373540789281384,0.43915710126477814,129,0.501,0.49355007337216655,0.6223501244567626,0.39697131829001225,0.6913886112321909,0.021283522482958932,0.021283522482958932,0.28,0.7475,0.674522345079888,40,45,47,1.0
IKBKB,0.118422196179545,0.32871584791606606,129,0.501,0.4286544856300724,0.6687790093284043,0.4430138006257934,0.6577557525906803,0.009984070147431932,0.009984070147431932,0.28,0.7475,0.5447471164866076,36,49,48,1.0
DMAP1,0.34749834556280623,0.6464770544272292,101,0.001,-0.04020080761678254,0.967986060094386,-0.0429471894056446,0.9657436317232554,-0.014354835900126053,0.014354835900126053,0.2,0.7975,0.8910387553689084,44,48,49,1.0
PER1,0.27443499672633687,0.5624422689932141,101,0.126,-0.055611774427810116,0.9557239133356872,-0.03869116162670685,0.9691366201346521,-0.005143273938149612,0.005143273938149612,0.2,0.7975,0.8108830258491124,42,50,50,1.0
SOX17,0.4528075042311316,0.7452006475149662,137,0.251,-0.2710858469563814,0.7866803998046679,-0.11375201518251812,0.9094343779312893,-0.01488857668386551,0.01488857668386551,0.27,0.725,0.9893906902034862,46,47,51,1.0
MLLT3,0.27443499672633687,0.5624422689932141,101,0.501,-0.05561177442779777,0.955723913335697,-0.03869116162670685,0.9691366201346521,-0.0008584899353120419,0.0008584899353120419,0.2,0.7975,0.8108830258491124,43,52,52,1.0
