,gene_1,gene_2,HG_pval,rank
3875,CEBPA_negation,MYCN_negation,1.4246172687830092e-12,230
2244,MEF2D,CEBPA_negation,1.4246172687830092e-12,231
2599,NPM1,SP3_negation,1.4246172687830092e-12,232
2581,NPM1,GATA1_negation,1.4246172687830092e-12,233
3314,SP2,HOXA9_negation,1.4246172687830092e-12,234
3864,CEBPA_negation,ESR2_negation,1.4246172687830092e-12,235
3858,CEBPA_negation,CREM_negation,1.4246172687830092e-12,236
1188,FLI1,SP2,1.4246172687830092e-12,237
2739,POU2AF1,SP2,1.4246172687830092e-12,238
3293,SP2,ZNF383,1.4246172687830092e-12,239
3133,RFX5,SRF,1.4246172687830092e-12,240
1119,ETS1,CEBPA_negation,1.4246172687830092e-12,241
626,CEBPE,NFIC_negation,1.4945148271035985e-12,242
431,ATF4,DDIT3_negation,1.4945148271035985e-12,243
635,CEBPE,SNAI2_negation,1.6440027152967554e-12,244
3399,SRF,EGR1_negation,1.8698684397852806e-12,245
4059,EGR1_negation,STAT1_negation,1.8804843300231295e-12,246
2588,NPM1,MYCN_negation,2.0171824500218927e-12,247
383,ATF4,FOS,2.0171824500218927e-12,248
1281,FOS,CDX2_negation,2.067166553345618e-12,249
605,CEBPE,CDX2_negation,2.067166553345618e-12,250
4380,MEF2A_negation,SNAI2_negation,2.4345806166506504e-12,251
1470,GATA2,SNAI2_negation,2.461634290910183e-12,252
4408,NFIC_negation,NR3C1_negation,2.797020818390118e-12,253
2816,POU2F2,EGR1_negation,3.050578340677755e-12,254
4023,DDIT3_negation,SNAI2_negation,3.803227295461828e-12,255
87,ABL1,SP3_negation,4.161390717859504e-12,256
1646,HIVEP2,NPM1,4.161390717859504e-12,257
2091,KLF5,RFX5,5.1292331184901404e-12,258
1262,FOS,PPARD,5.235046547345431e-12,259
3991,CTNNB1_negation,SP3_negation,7.02409380398169e-12,260
3316,SP2,MYCN_negation,7.577085253743487e-12,261
1106,ETS1,SP2,7.577085253743487e-12,262
3290,SP2,TP63,7.577085253743487e-12,263
3305,SP2,ESR2_negation,7.577085253743487e-12,264
1821,HOPX,CEBPA_negation,7.577085253743487e-12,265
3849,CDX2_negation,SP3_negation,7.577085253743487e-12,266
1659,HIVEP2,SP2,7.577085253743487e-12,267
678,DACH1,RFX5,7.82838118458351e-12,268
3096,RFX1,EGR1_negation,8.090818290963702e-12,269
2930,PPARD,DDIT3_negation,8.090818290963702e-12,270
224,ARNT,PPARD,8.783289149714622e-12,271
2578,NPM1,EZH2_negation,8.98674877988391e-12,272
4244,GATA1_negation,NR3C1_negation,9.244298711183999e-12,273
3139,RFX5,ZNF148,9.244298711183999e-12,274
4446,NR3C1_negation,SNAI2_negation,1.0207243604959502e-11,275
3,ABL1,ATF4,1.0780058657701871e-11,276
445,ATF4,MEF2A_negation,1.3228902896765389e-11,277
4447,NR3C1_negation,SP3_negation,2.1130348061177147e-11,278
264,ARNT,NFIC_negation,2.1211149107352923e-11,279
1294,FOS,GATA1_negation,2.1532973858230998e-11,280
2937,PPARD,FOSL2_negation,2.3512466164478348e-11,281
3351,SPI1,EGR1_negation,2.3512466164478348e-11,282
456,ATF4,SNAI2_negation,2.3512466164478348e-11,283
79,ABL1,NR3C1_negation,2.6628744123917583e-11,284
4373,MEF2A_negation,NR3C1_negation,2.7864043322647303e-11,285
1273,FOS,TFAP2A,2.8514994878069986e-11,286
37,ABL1,PPARD,3.0600959095781874e-11,287
4215,FOSL2_negation,MEF2A_negation,3.19330158057007e-11,288
416,ATF4,SRF,3.19330158057007e-11,289
3216,RFXAP,NFIC_negation,3.9780532555428375e-11,290
