gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
CREB1,0.3120388021966703,0.6236422739217253,32,0.251,0.050386968942622234,0.959874182120906,0.036226371246141795,0.9711018585728504,0.003264232348050925,0.003264232348050925,0.06542056074766354,0.9363867684478372,1.0
CREB1_negation,0.5247867001826724,0.81139764564239,0,-0.124,-0.050386968942622234,0.959874182120906,-0.036226371246141795,0.9711018585728504,0.003264267097879937,0.003264267097879937,0.0,1.0,1.0
CREB3,0.9999999929661126,0.9999999993022444,0,0.251,3.668568946792014,0.0002938588180806111,1.6943375718247569,0.09020115492132091,0.08150286204035458,0.08150286204035458,0.0,1.0,1.0
CREB3_negation,0.9999991853161202,0.9999999557580406,70,-0.249,-3.668568946792014,0.0002938588180806111,-1.6943375718247569,0.09020115492132091,0.08150355218532933,0.08150355218532933,0.056074766355140186,0.8371501272264631,1.0
CREB5,0.9987341715891584,0.9999224468291075,50,0.376,0.5510247413352016,0.5824471365278969,0.09283007631823835,0.9260385567242838,0.012603731221937127,0.012603731221937127,0.102803738317757,0.9007633587786259,1.0
CREB5_negation,0.9999999396164712,0.9999999956736982,0,-0.374,-0.5510247413352016,0.5824471365278969,-0.09283007631823835,0.9260385567242838,0.012603795531052855,0.012603795531052855,0.0,1.0,1.0
CREBBP,1.0,1.0,0,0.626,-4.47452578863867,1.3192080273177108e-05,-3.3249016359349515,0.0008844973463527836,-0.0957263198400838,0.0957263198400838,0.0,1.0,1.0
CREBBP_negation,0.0010795443774907927,0.008098548271943442,0,-0.374,4.47452578863867,1.3192080273177108e-05,3.3249016359349515,0.0008844973463527836,-0.09572673063034454,0.09572673063034454,0.0,1.0,0.05681071175840922
CREM,0.311604512425334,0.6221185946967766,13,0.751,0.04010268118346571,0.9680653201007221,-0.39509386140323394,0.6927736190146163,0.0009681898424264328,0.0009681898424264328,0.056074766355140186,0.9821882951653944,1.0
CREM_negation,0.10380484570506074,0.3112991320962184,114,-0.624,-0.04010268118346571,0.9680653201007221,0.39509386140323394,0.6927736190146163,0.0009681929650254059,0.0009681929650254059,0.27102803738317754,0.7837150127226463,1.0
CTNNB1,0.9999990999469379,0.9999999518081276,154,0.626,-4.300349643826194,2.728133753090916e-05,-4.0833912839010456,4.43831978438595e-05,-0.20769877682411217,0.20769877682411217,0.102803738317757,0.6361323155216285,1.0
CTNNB1_negation,0.0005795740137517895,0.004649244435011612,206,-0.499,4.300349643826194,2.728133753090916e-05,4.0833912839010456,4.43831978438595e-05,-0.2076995690980941,0.2076995690980941,0.5514018691588785,0.6259541984732825,0.03524427232992673
DACH1,9.262832188002644e-07,1.27234797422734e-05,161,0.376,4.802164522646053,3.318879723284522e-06,4.309806104189431,1.6339774542360435e-05,0.2135063381051575,0.2135063381051575,0.4392523364485981,0.7099236641221374,0.00015946241818536096
DACH1_negation,0.9999956573943563,0.9999997814342513,0,-0.249,-4.802164522646053,3.318879723284522e-06,-4.309806104189431,1.6339774542360435e-05,0.21350749679989994,0.21350749679989994,0.0,1.0,1.0
DDIT3,0.311604512425334,0.6221185946967766,0,0.876,-3.4368748437555925,0.0007818074695730339,-3.353958204538628,0.000796643949069749,-0.061479151643546635,0.061479151643546635,0.0,1.0,1.0
DDIT3_negation,2.1162532595927115e-10,4.333566485628467e-09,76,-0.749,3.4368748437555925,0.0007818074695730339,3.353958204538628,0.000796643949069749,-0.0614793173048755,0.0614793173048755,0.3644859813084112,0.905852417302799,8.855548905414693e-08
DEK,1.6009743973896896e-06,2.0984853932476553e-05,55,0.626,4.129366936698081,5.9330950017782266e-05,3.841127426192472,0.00012247051438824008,0.18135405649802355,0.18135405649802355,0.16822429906542055,0.905852417302799,0.00022415639427872684
DEK_negation,0.9999998869754032,0.999999992514465,0,-0.374,-4.129366936698081,5.9330950017782266e-05,-3.841127426192472,0.00012247051438824008,0.18135478201825317,0.18135478201825317,0.0,1.0,1.0
DMAP1,0.635174425958253,0.879349719448898,101,0.001,-0.6267886210560533,0.5315650694238229,-0.31660339036992674,0.7515445628907662,-0.21053733845506128,0.21053733845506128,0.18691588785046728,0.7938931297709924,1.0
DMAP1_negation,0.9999993515107916,0.9999999658133206,0,0.001,0.6267886210560533,0.5315650694238229,0.31660339036992674,0.7515445628907662,-0.21055131279527683,0.21055131279527683,0.0,1.0,1.0
DNMT1,0.008090266192454424,0.04473044505553042,13,0.501,-0.31342922931961015,0.7543977087993226,-1.3750926752181323,0.16910271494221651,-0.01740335120051248,0.01740335120051248,0.04672897196261682,0.9796437659033079,0.26840945698327956
DNMT1_negation,0.9996338051108284,0.9999792039493132,0,-0.249,0.31342922931961015,0.7543977087993226,1.3750926752181323,0.16910271494221651,-0.017403461295842637,0.017403461295842637,0.0,1.0,1.0
E2F1,0.6112902343848059,0.86681137795412,40,0.501,3.8721738983737515,0.0001465272177466796,3.3626374393163494,0.0007720168500854349,0.14780247265663723,0.14780247265663723,0.07476635514018691,0.9185750636132316,1.0
E2F1_negation,0.9999990999469379,0.9999999518081276,117,-0.374,-3.8721738983737515,0.0001465272177466796,-3.3626374393163494,0.0007720168500854349,0.14780316116934225,0.14780316116934225,0.12149532710280374,0.7353689567430025,1.0
E2F6,0.9999999929661126,0.9999999993022444,0,0.501,0.31525964090070474,0.7529478192560022,0.21056578286819919,0.8332261149533571,0.0050170322223186195,0.0050170322223186195,0.0,1.0,1.0
E2F6_negation,0.6427066704888148,0.8835289886587719,0,-0.374,-0.31525964090070474,0.7529478192560022,-0.21056578286819919,0.8332261149533571,0.005017053259309155,0.005017053259309155,0.0,1.0,1.0
EGR1,1.0,1.0,0,0.501,-8.658730539281557,6.959722831151454e-15,-7.579613467187543,3.465859734052799e-14,-0.6639019827603948,0.6639019827603948,0.0,1.0,1.0
EGR1_negation,4.493385295440179e-24,1.0766964422435996e-22,145,-0.249,8.658730539281557,6.959722831151454e-15,7.579613467187543,3.465859734052799e-14,-0.663907129520153,0.663907129520153,0.7009345794392523,0.821882951653944,1.1610139582796263e-20
EGR3,0.9999998483926721,0.9999999905842315,0,0.501,3.7498070910407217,0.00020013312849266233,0.9418856523996867,0.34625118653512266,0.02161960901936236,0.02161960901936236,0.0,1.0,1.0
EGR3_negation,0.9999999955024822,0.9999999995358619,28,-0.499,-3.7498070910407217,0.00020013312849266233,-0.9418856523996867,0.34625118653512266,0.0216196963532399,0.0216196963532399,0.009345794392523364,0.9312977099236641,1.0
ELF1,0.999999840744564,0.9999999900633888,0,0.501,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ELF1_negation,0.999999840744564,0.9999999900633888,0,-0.499,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0
