,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
237,ATF6,HDAC1_negation,7.862098117205677e-05,0.13,0.975,0.0006621070156339233,464,0.5925650242017257,0.1185650242017257,609,544,
1345,FLI1,RBMX_negation,6.200868944938816e-07,0.12,0.9925,9.560079837945042e-06,254,0.3488828014903461,0.07088280149034612,819,545,
2474,POU2F2,STAT1_negation,8.999090578269843e-06,0.18,0.96,0.0001039540964734652,339,0.47320096835285086,0.0952009683528509,736,546,
2484,POU2F2,ZIC1_negation,0.00018839123652640376,0.1,0.985,0.0014269634085829733,517,0.6280106369123042,0.12601063691230424,559,547,
1258,ETS2,ERG_negation,4.943211473554292e-06,0.2,0.9525,6.244392300141487e-05,309,0.44297103750484323,0.08897103750484336,767,548,
598,CTNNB1,ELK1,0.0021617140569602854,0.17,0.9325,0.010594833851134515,799,0.91455394972836,0.18255394972835998,280,549,
612,CTNNB1,HSF1,7.014378845511027e-14,0.18,1.0,3.3911490813606397e-12,81,0.04762446128743569,0.00962446128743555,999,550,
609,CTNNB1,HIF1A,0.003184056759707839,0.15,0.9425,0.015004532215422261,830,0.9640830696403788,0.1920830696403789,250,551,
3226,ATM_negation,HDAC1_negation,0.00013383376272341882,0.12,0.9775,0.0010587737673230467,494,0.6100700815140779,0.12207008151407794,588,552,
829,DMAP1,WT1_negation,0.004591665095342,0.13,0.9525,0.019890443045751407,899,1.0792607633188331,0.2152607633188331,183,553,
3790,PML_negation,WT1_negation,0.004591665095342,0.13,0.9525,0.019890443045751407,901,1.0792607633188331,0.2152607633188331,182,554,
3739,MLLT10_negation,WT1_negation,0.004591665095342,0.13,0.9525,0.019890443045751407,900,1.0792607633188331,0.2152607633188331,184,555,
3695,HOXA10_negation,STAT1_negation,0.0001567917390995544,0.18,0.945,0.0012015586111817126,511,0.6170662361276062,0.12506623612760617,574,556,
2280,MYC,ATF1_negation,9.569399322225542e-07,0.16,0.9775,1.414104443239065e-05,265,0.34493541598733024,0.06893541598733015,820,557,
