,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
60992,ENSG00000198851,ENSG00000051523_negation,ENSG00000111716,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,104
23141,ENSG00000227507,ENSG00000198851,ENSG00000171223,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,105
102587,ENSG00000196154_negation,ENSG00000198851,ENSG00000051523_negation,ENSG00000167286,5.529818734632214e-30,0.37623762376237624,1.0,106
60959,ENSG00000198851,ENSG00000051523_negation,ENSG00000167286,ENSG00000196154_negation,5.529818734632214e-30,0.37623762376237624,1.0,107
22952,ENSG00000227507,ENSG00000198851,ENSG00000156508,ENSG00000171223,5.529818734632214e-30,0.37623762376237624,1.0,108
67327,ENSG00000167286,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,109
22957,ENSG00000227507,ENSG00000198851,ENSG00000156508,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,110
23163,ENSG00000227507,ENSG00000198851,ENSG00000142546,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,111
60447,ENSG00000198851,ENSG00000019582_negation,ENSG00000196154_negation,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,112
22953,ENSG00000227507,ENSG00000198851,ENSG00000156508,ENSG00000142546,5.529818734632214e-30,0.37623762376237624,1.0,113
25949,ENSG00000227507,ENSG00000142546,ENSG00000156508,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,114
102595,ENSG00000196154_negation,ENSG00000198851,ENSG00000051523_negation,ENSG00000019582_negation,5.529818734632214e-30,0.37623762376237624,1.0,115
30877,ENSG00000156508,ENSG00000227507,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,116
26012,ENSG00000227507,ENSG00000142546,ENSG00000198851,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,117
32523,ENSG00000156508,ENSG00000198851,ENSG00000051523_negation,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,118
23263,ENSG00000227507,ENSG00000198851,ENSG00000051523_negation,ENSG00000019582_negation,5.529818734632214e-30,0.37623762376237624,1.0,119
61106,ENSG00000198851,ENSG00000051523_negation,ENSG00000196154_negation,ENSG00000167286,5.529818734632214e-30,0.37623762376237624,1.0,120
23221,ENSG00000227507,ENSG00000198851,ENSG00000019582_negation,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,121
77910,ENSG00000111716,ENSG00000198851,ENSG00000142546,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,122
104222,ENSG00000196154_negation,ENSG00000251562_negation,ENSG00000051523_negation,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,123
32845,ENSG00000156508,ENSG00000167286,ENSG00000142546,ENSG00000227507,4.0004782408357036e-29,0.36633663366336633,1.0,124
33519,ENSG00000156508,ENSG00000111716,ENSG00000198851,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,125
68252,ENSG00000167286,ENSG00000051523_negation,ENSG00000251562_negation,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,126
59612,ENSG00000198851,ENSG00000142546,ENSG00000167286,ENSG00000111716,4.0004782408357036e-29,0.36633663366336633,1.0,127
56334,ENSG00000198851,ENSG00000156508,ENSG00000196154_negation,ENSG00000227507,4.0004782408357036e-29,0.36633663366336633,1.0,128
59654,ENSG00000198851,ENSG00000142546,ENSG00000111716,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,129
65654,ENSG00000167286,ENSG00000111716,ENSG00000142546,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,130
56339,ENSG00000198851,ENSG00000156508,ENSG00000196154_negation,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,131
35137,ENSG00000156508,ENSG00000142546,ENSG00000198851,ENSG00000111716,4.0004782408357036e-29,0.36633663366336633,1.0,132
77914,ENSG00000111716,ENSG00000198851,ENSG00000142546,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,133
64710,ENSG00000167286,ENSG00000198851,ENSG00000196154_negation,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,134
59650,ENSG00000198851,ENSG00000142546,ENSG00000111716,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,135
78191,ENSG00000111716,ENSG00000167286,ENSG00000142546,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,136
32315,ENSG00000156508,ENSG00000198851,ENSG00000167286,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,137
32462,ENSG00000156508,ENSG00000198851,ENSG00000196154_negation,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,138
64610,ENSG00000167286,ENSG00000198851,ENSG00000111716,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,139
32358,ENSG00000156508,ENSG00000198851,ENSG00000111716,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,140
35559,ENSG00000156508,ENSG00000196154_negation,ENSG00000167286,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,141
35538,ENSG00000156508,ENSG00000196154_negation,ENSG00000198851,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,142
23385,ENSG00000227507,ENSG00000167286,ENSG00000156508,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,143
109164,ENSG00000251562_negation,ENSG00000167286,ENSG00000051523_negation,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,144
32457,ENSG00000156508,ENSG00000198851,ENSG00000196154_negation,ENSG00000227507,4.0004782408357036e-29,0.36633663366336633,1.0,145
55987,ENSG00000198851,ENSG00000227507,ENSG00000196154_negation,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,146
35533,ENSG00000156508,ENSG00000196154_negation,ENSG00000198851,ENSG00000227507,4.0004782408357036e-29,0.36633663366336633,1.0,147
109997,ENSG00000251562_negation,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,148
23595,ENSG00000227507,ENSG00000167286,ENSG00000142546,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,149
21865,ENSG00000227507,ENSG00000156508,ENSG00000142546,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,150
63390,ENSG00000167286,ENSG00000227507,ENSG00000142546,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,151
21886,ENSG00000227507,ENSG00000156508,ENSG00000196154_negation,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,152
22954,ENSG00000227507,ENSG00000198851,ENSG00000156508,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,153
56319,ENSG00000198851,ENSG00000156508,ENSG00000142546,ENSG00000111716,4.0004782408357036e-29,0.36633663366336633,1.0,154
30643,ENSG00000156508,ENSG00000227507,ENSG00000198851,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,155
67316,ENSG00000167286,ENSG00000196154_negation,ENSG00000251562_negation,ENSG00000051523_negation,4.0004782408357036e-29,0.36633663366336633,1.0,156
58258,ENSG00000198851,ENSG00000111716,ENSG00000167286,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,157
102743,ENSG00000196154_negation,ENSG00000167286,ENSG00000251562_negation,ENSG00000051523_negation,4.0004782408357036e-29,0.36633663366336633,1.0,158
33666,ENSG00000156508,ENSG00000111716,ENSG00000142546,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,159
67962,ENSG00000167286,ENSG00000251562_negation,ENSG00000051523_negation,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,160
67899,ENSG00000167286,ENSG00000251562_negation,ENSG00000196154_negation,ENSG00000051523_negation,4.0004782408357036e-29,0.36633663366336633,1.0,161
26437,ENSG00000227507,ENSG00000196154_negation,ENSG00000198851,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,162
30811,ENSG00000156508,ENSG00000227507,ENSG00000196154_negation,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,163
21718,ENSG00000227507,ENSG00000156508,ENSG00000198851,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,164
58380,ENSG00000198851,ENSG00000111716,ENSG00000142546,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,165
21739,ENSG00000227507,ENSG00000156508,ENSG00000167286,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,166
58384,ENSG00000198851,ENSG00000111716,ENSG00000142546,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,167
63715,ENSG00000167286,ENSG00000156508,ENSG00000142546,ENSG00000227507,4.0004782408357036e-29,0.36633663366336633,1.0,168
57701,ENSG00000198851,ENSG00000167286,ENSG00000142546,ENSG00000111716,4.0004782408357036e-29,0.36633663366336633,1.0,169
32703,ENSG00000156508,ENSG00000167286,ENSG00000198851,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,170
26374,ENSG00000227507,ENSG00000196154_negation,ENSG00000156508,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,171
102764,ENSG00000196154_negation,ENSG00000167286,ENSG00000051523_negation,ENSG00000251562_negation,4.0004782408357036e-29,0.36633663366336633,1.0,172
35152,ENSG00000156508,ENSG00000142546,ENSG00000167286,ENSG00000227507,4.0004782408357036e-29,0.36633663366336633,1.0,173
57617,ENSG00000198851,ENSG00000167286,ENSG00000111716,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,174
64694,ENSG00000167286,ENSG00000198851,ENSG00000142546,ENSG00000111716,4.0004782408357036e-29,0.36633663366336633,1.0,175
56192,ENSG00000198851,ENSG00000156508,ENSG00000167286,ENSG00000196154_negation,4.0004782408357036e-29,0.36633663366336633,1.0,176
67337,ENSG00000167286,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000251562_negation,4.0004782408357036e-29,0.36633663366336633,1.0,177
56235,ENSG00000198851,ENSG00000156508,ENSG00000111716,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,178
63741,ENSG00000167286,ENSG00000156508,ENSG00000196154_negation,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,179
32442,ENSG00000156508,ENSG00000198851,ENSG00000142546,ENSG00000111716,4.0004782408357036e-29,0.36633663366336633,1.0,180
32871,ENSG00000156508,ENSG00000167286,ENSG00000196154_negation,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,181
104358,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000251562_negation,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,182
23185,ENSG00000227507,ENSG00000198851,ENSG00000196154_negation,ENSG00000156508,4.0004782408357036e-29,0.36633663366336633,1.0,183
30790,ENSG00000156508,ENSG00000227507,ENSG00000142546,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,184
35200,ENSG00000156508,ENSG00000142546,ENSG00000111716,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,185
25950,ENSG00000227507,ENSG00000142546,ENSG00000156508,ENSG00000167286,4.0004782408357036e-29,0.36633663366336633,1.0,186
66836,ENSG00000167286,ENSG00000142546,ENSG00000111716,ENSG00000198851,4.0004782408357036e-29,0.36633663366336633,1.0,187
68210,ENSG00000167286,ENSG00000051523_negation,ENSG00000196154_negation,ENSG00000251562_negation,4.0004782408357036e-29,0.36633663366336633,1.0,188
30664,ENSG00000156508,ENSG00000227507,ENSG00000167286,ENSG00000142546,4.0004782408357036e-29,0.36633663366336633,1.0,189
21743,ENSG00000227507,ENSG00000156508,ENSG00000167286,ENSG00000051523_negation,2.855726005765709e-28,0.3564356435643564,1.0,190
57789,ENSG00000198851,ENSG00000167286,ENSG00000051523_negation,ENSG00000111716,2.855726005765709e-28,0.3564356435643564,1.0,191
32757,ENSG00000156508,ENSG00000167286,ENSG00000111716,ENSG00000227507,2.855726005765709e-28,0.3564356435643564,1.0,192
57795,ENSG00000198851,ENSG00000167286,ENSG00000051523_negation,ENSG00000019582_negation,2.855726005765709e-28,0.3564356435643564,1.0,193
67649,ENSG00000167286,ENSG00000019582_negation,ENSG00000051523_negation,ENSG00000196154_negation,2.855726005765709e-28,0.3564356435643564,1.0,194
57775,ENSG00000198851,ENSG00000167286,ENSG00000251562_negation,ENSG00000051523_negation,2.855726005765709e-28,0.3564356435643564,1.0,195
107192,ENSG00000019582_negation,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000167286,2.855726005765709e-28,0.3564356435643564,1.0,196
63627,ENSG00000167286,ENSG00000156508,ENSG00000111716,ENSG00000227507,2.855726005765709e-28,0.3564356435643564,1.0,197
63722,ENSG00000167286,ENSG00000156508,ENSG00000142546,ENSG00000111716,2.855726005765709e-28,0.3564356435643564,1.0,198
21777,ENSG00000227507,ENSG00000156508,ENSG00000111716,ENSG00000167286,2.855726005765709e-28,0.3564356435643564,1.0,199
35159,ENSG00000156508,ENSG00000142546,ENSG00000167286,ENSG00000111716,2.855726005765709e-28,0.3564356435643564,1.0,200
67336,ENSG00000167286,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000019582_negation,2.855726005765709e-28,0.3564356435643564,1.0,201
57783,ENSG00000198851,ENSG00000167286,ENSG00000051523_negation,ENSG00000156508,2.855726005765709e-28,0.3564356435643564,1.0,202
