,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
697613,ENSG00000174748,ENSG00000177410,ENSG00000135390,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,50
1312335,ENSG00000109475,ENSG00000177410,ENSG00000186468,ENSG00000196531,1.786337079047622e-57,0.6931818181818182,1.0,51
2948625,ENSG00000196531,ENSG00000182899,ENSG00000177410,ENSG00000109475,1.786337079047622e-57,0.6931818181818182,1.0,52
1733926,ENSG00000186468,ENSG00000138326,ENSG00000198034,ENSG00000135390,1.786337079047622e-57,0.6931818181818182,1.0,53
695160,ENSG00000174748,ENSG00000125691,ENSG00000138326,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,54
697621,ENSG00000174748,ENSG00000177410,ENSG00000135390,ENSG00000112306,1.786337079047622e-57,0.6931818181818182,1.0,55
1722586,ENSG00000186468,ENSG00000198034,ENSG00000138326,ENSG00000135390,1.786337079047622e-57,0.6931818181818182,1.0,56
648946,ENSG00000174748,ENSG00000112306,ENSG00000135390,ENSG00000177410,1.786337079047622e-57,0.6931818181818182,1.0,57
1238877,ENSG00000109475,ENSG00000182899,ENSG00000177410,ENSG00000196531,1.786337079047622e-57,0.6931818181818182,1.0,58
694376,ENSG00000174748,ENSG00000125691,ENSG00000186468,ENSG00000138326,1.786337079047622e-57,0.6931818181818182,1.0,59
894741,ENSG00000182899,ENSG00000196531,ENSG00000109475,ENSG00000177410,1.786337079047622e-57,0.6931818181818182,1.0,60
678208,ENSG00000174748,ENSG00000135390,ENSG00000177410,ENSG00000112306,1.786337079047622e-57,0.6931818181818182,1.0,61
678200,ENSG00000174748,ENSG00000135390,ENSG00000177410,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,62
631504,ENSG00000174748,ENSG00000186468,ENSG00000125691,ENSG00000138326,1.786337079047622e-57,0.6931818181818182,1.0,63
2733722,ENSG00000138326,ENSG00000186468,ENSG00000135390,ENSG00000198034,1.786337079047622e-57,0.6931818181818182,1.0,64
667080,ENSG00000174748,ENSG00000138326,ENSG00000125691,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,65
1757783,ENSG00000186468,ENSG00000177410,ENSG00000196531,ENSG00000109475,1.786337079047622e-57,0.6931818181818182,1.0,66
1722831,ENSG00000186468,ENSG00000198034,ENSG00000135390,ENSG00000138326,1.786337079047622e-57,0.6931818181818182,1.0,67
839135,ENSG00000182899,ENSG00000109475,ENSG00000177410,ENSG00000196531,1.786337079047622e-57,0.6931818181818182,1.0,68
1689561,ENSG00000186468,ENSG00000174748,ENSG00000125691,ENSG00000138326,1.786337079047622e-57,0.6931818181818182,1.0,69
630867,ENSG00000174748,ENSG00000186468,ENSG00000138326,ENSG00000125691,1.786337079047622e-57,0.6931818181818182,1.0,70
838743,ENSG00000182899,ENSG00000109475,ENSG00000196531,ENSG00000177410,1.786337079047622e-57,0.6931818181818182,1.0,71
2953908,ENSG00000196531,ENSG00000186468,ENSG00000177410,ENSG00000109475,1.786337079047622e-57,0.6931818181818182,1.0,72
2950988,ENSG00000196531,ENSG00000109475,ENSG00000177410,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,73
2734102,ENSG00000138326,ENSG00000186468,ENSG00000125691,ENSG00000174748,1.786337079047622e-57,0.6931818181818182,1.0,74
