,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
48481,ENSG00000167996,ENSG00000011600,1.0516543340527203e-48,0.6538461538461539,0.9823232323232324,2.7886419745742447e-46,335,0.9403096871727974,0.18630968717279744,69,69,1.0
75523,ENSG00000011600,ENSG00000145592_negation,8.672366633070478e-49,0.6634615384615384,0.9797979797979798,2.348704269458182e-46,328,0.9231449905241871,0.18314499052418715,76,70,1.0
25144,ENSG00000204472,ENSG00000100097,9.063156237110414e-51,0.7403846153846154,0.9595959595959596,2.938281867513705e-48,274,0.797585149043215,0.16158514904321503,132,71,0.0
77585,ENSG00000087086,ENSG00000110700_negation,7.932758542890804e-54,0.6346153846153846,0.9974747474747475,3.768314834885203e-51,187,0.666166239637484,0.13416623963748397,223,72,0.0
34479,ENSG00000106565,ENSG00000213402_negation,1.6833814485629437e-47,0.5576923076923077,1.0,3.719812374559573e-45,402,1.1153513559523205,0.2213513559523206,10,73,1.0
77583,ENSG00000087086,ENSG00000177600_negation,1.6790790334916494e-52,0.6057692307692307,1.0,6.484968244525943e-50,219,0.7035336279444627,0.14153362794446278,197,74,0.0
77609,ENSG00000087086,ENSG00000166710_negation,1.7495102183654516e-56,0.7403846153846154,0.9772727272727273,1.1685018211099354e-53,133,0.49600210691257907,0.10000210691257903,286,75,0.0
85838,ENSG00000137154_negation,ENSG00000213402_negation,5.0025225951051594e-49,0.7115384615384616,0.9646464646464646,1.3800592690862933e-46,322,0.8511235413628565,0.1691235413628565,98,76,1.0
77541,ENSG00000087086,ENSG00000174748_negation,1.6790790334916494e-52,0.6057692307692307,1.0,6.484968244525943e-50,225,0.7035336279444627,0.14153362794446278,198,77,0.0
25176,ENSG00000204472,ENSG00000182899_negation,1.1745747841703947e-47,0.6346153846153846,0.9848484848484849,2.7242468055519666e-45,383,0.9831671964131777,0.19916719641317776,42,78,0.0
77624,ENSG00000087086,ENSG00000108654_negation,4.532768020367732e-55,0.7115384615384616,0.9823232323232324,2.4854957778844814e-52,161,0.5411167161400128,0.10911671614001281,265,79,0.0
75477,ENSG00000011600,ENSG00000087086,5.142751542074323e-77,0.8557692307692307,0.98989898989899,5.0759529137111576e-73,9,0.41404861510851165,0.08404861510851167,418,80,1.0
77632,ENSG00000087086,ENSG00000130255_negation,8.696499851317134e-53,0.625,0.9974747474747475,3.593110596708616e-50,213,0.6761059554318242,0.1361059554318242,217,81,0.0
86654,ENSG00000213402_negation,ENSG00000108654_negation,2.6190243029681948e-51,0.7692307692307693,0.9494949494949495,8.948097994498758e-49,260,0.7463813414251556,0.14838134142515558,173,82,1.0
86664,ENSG00000213402_negation,ENSG00000105640_negation,1.7763326937066952e-48,0.6923076923076923,0.9696969696969697,4.49553873261138e-46,351,0.8860317472700502,0.17603174727005017,85,83,1.0
25214,ENSG00000204472,ENSG00000110700_negation,1.0982572243319853e-47,0.6442307692307693,0.9823232323232324,2.5606112203316167e-45,381,0.9655593408965234,0.1955593408965235,56,84,0.0
77549,ENSG00000087086,ENSG00000109475_negation,2.2318311938687397e-53,0.6442307692307693,0.9949494949494949,9.718421410909511e-51,203,0.6487165465171117,0.13071654651711173,236,85,0.0
77647,ENSG00000087086,ENSG00000083845_negation,1.7510395634977122e-51,0.5961538461538461,1.0,6.005660056566226e-49,257,0.7135116073367291,0.14351160733672913,186,86,0.0
75577,ENSG00000011600,ENSG00000133112_negation,9.157035862947182e-48,0.6538461538461539,0.9797979797979798,2.1866361632834974e-45,372,0.9331229699164535,0.18512296991645347,72,87,1.0
9785,ENSG00000196154,ENSG00000134419_negation,9.990520249276061e-50,0.5961538461538461,0.9974747474747475,2.900221909357653e-47,302,0.7803737930946092,0.15637379309460933,143,88,1.0
70344,ENSG00000197766,ENSG00000087086,9.314723809229819e-52,0.6153846153846154,0.9974747474747475,3.3230370710750764e-49,241,0.6860048536259495,0.13800485362594955,208,89,1.0
77515,ENSG00000087086,ENSG00000100097,1.4241197781665559e-55,0.7403846153846154,0.9747474747474747,8.10935794963547e-53,156,0.4884858639223866,0.09848586392238658,295,90,0.0
9791,ENSG00000196154,ENSG00000198242_negation,1.7519354442048532e-48,0.5673076923076923,1.0,4.446462212690323e-46,347,0.8177857106636747,0.16378571066367467,114,91,1.0
83814,ENSG00000181163_negation,ENSG00000213402_negation,1.5403867815428968e-51,0.7980769230769231,0.9368686868686869,5.451557696862034e-49,251,0.6795180658048442,0.13551806580484416,215,92,1.0
25174,ENSG00000204472,ENSG00000162244_negation,3.7642229539993163e-56,0.6923076923076923,0.98989898989899,2.4586741854905387e-53,136,0.45555553543311333,0.0895555354331133,332,93,0.0
75594,ENSG00000011600,ENSG00000131469_negation,1.0733839050870361e-47,0.6923076923076923,0.9671717171717171,2.515824951788562e-45,378,0.8558211553860564,0.16982115538605647,96,94,1.0
77537,ENSG00000087086,ENSG00000197756_negation,4.767173710646813e-52,0.6442307692307693,0.9924242424242424,1.8020119484700725e-49,235,0.6412448327890058,0.12924483278900578,240,95,0.0
77542,ENSG00000087086,ENSG00000168028_negation,1.7876892287807825e-50,0.5865384615384616,1.0,5.4384322562269074e-48,292,0.7234895867289954,0.14548958672899548,183,96,0.0
25212,ENSG00000204472,ENSG00000177600_negation,1.184796855641206e-46,0.625,0.9848484848484849,2.3865462467905665e-44,441,0.9930660946073031,0.2010660946073031,37,97,0.0
77646,ENSG00000087086,ENSG00000108107_negation,9.753643310112105e-51,0.6057692307692307,0.9974747474747475,3.072432230072938e-48,279,0.6960619142163568,0.14006191421635686,203,98,0.0
77581,ENSG00000087086,ENSG00000148303_negation,2.6555127975466035e-51,0.625,0.9949494949494949,9.00350600453673e-49,261,0.6687107688995705,0.1347107688995705,222,99,0.0
82436,ENSG00000168028_negation,ENSG00000213402_negation,9.415400973345544e-47,0.6442307692307693,0.9797979797979798,1.9311810431153654e-44,429,0.9657382376121137,0.19173823761211373,54,100,1.0
77565,ENSG00000087086,ENSG00000112306_negation,9.753643310112105e-51,0.6057692307692307,0.9974747474747475,3.072432230072938e-48,282,0.6961001778142829,0.14010017781428297,202,101,0.0
75513,ENSG00000011600,ENSG00000174748_negation,1.184796855641206e-46,0.625,0.9848484848484849,2.3865462467905665e-44,440,0.9780128668777851,0.19401286687778513,46,102,0.0
25258,ENSG00000204472,ENSG00000099622_negation,7.179107426017469e-47,0.6538461538461539,0.9772727272727273,1.511202113176677e-44,421,0.9406761976459714,0.19067619764597143,68,103,0.0
25171,ENSG00000204472,ENSG00000168028_negation,8.915827988877989e-46,0.5576923076923077,0.9974747474747475,1.6329936414021045e-43,482,1.100349600191838,0.2223496001918381,12,104,0.0
77551,ENSG00000087086,ENSG00000145592_negation,5.1761602720264286e-51,0.6346153846153846,0.9924242424242424,1.7138546289988087e-48,265,0.6511845485833461,0.131184548583346,233,105,0.0
77631,ENSG00000087086,ENSG00000167658_negation,9.990520249276061e-50,0.5961538461538461,0.9974747474747475,2.900221909357653e-47,304,0.7060398936086232,0.1420398936086232,194,106,0.0
9266,ENSG00000197956,ENSG00000011600,1.4381938308671486e-47,0.7115384615384616,0.9595959595959596,3.3269842757749915e-45,384,0.8132856273567637,0.16128562735676366,116,107,1.0
25267,ENSG00000204472,ENSG00000105372_negation,1.0757209703964655e-45,0.6057692307692307,0.9873737373737373,1.9461786053215565e-43,489,1.0205728483180825,0.20657284831808265,26,108,0.0
25253,ENSG00000204472,ENSG00000108654_negation,3.0467399465148386e-47,0.7019230769230769,0.9621212121212122,6.537317782339605e-45,414,0.8452060239348093,0.17120602393480924,101,109,0.0
25261,ENSG00000204472,ENSG00000130255_negation,1.0757209703964655e-45,0.6057692307692307,0.9873737373737373,1.9461786053215565e-43,491,1.0205728483180825,0.20657284831808265,25,110,0.0
77547,ENSG00000087086,ENSG00000182899_negation,5.485299147259672e-50,0.625,0.9924242424242424,1.6461642180750808e-47,296,0.6612007915735384,0.13320079157353842,225,111,0.0
77629,ENSG00000087086,ENSG00000099622_negation,5.485299147259672e-50,0.625,0.9924242424242424,1.6461642180750808e-47,295,0.6611599739733236,0.13315997397332358,227,112,0.0
24764,ENSG00000204482,ENSG00000011600,1.0757209703964655e-45,0.6057692307692307,0.9873737373737373,1.9461786053215565e-43,490,1.0050827273846812,0.19908272738468122,34,113,1.0
77590,ENSG00000087086,ENSG00000149273_negation,1.7519354442048532e-48,0.5673076923076923,1.0,4.446462212690323e-46,350,0.7434455455135281,0.14944554551352815,176,114,0.0
9776,ENSG00000196154,ENSG00000122026_negation,5.741274725771451e-48,0.6057692307692307,0.9924242424242424,1.4011076240796808e-45,362,0.7554398549178104,0.15143985491781037,168,115,1.0
75556,ENSG00000011600,ENSG00000166441_negation,1.1469520071130335e-46,0.6826923076923077,0.9671717171717171,2.3208404041881063e-44,439,0.8657263192443422,0.17172631924434223,92,116,0.0
86673,ENSG00000213402_negation,ENSG00000142541_negation,3.085373018335007e-47,0.7211538461538461,0.9545454545454546,6.60425953233053e-45,415,0.8113760518542336,0.16137605185423354,119,117,1.0
86620,ENSG00000213402_negation,ENSG00000149273_negation,7.269092596586126e-46,0.6442307692307693,0.9772727272727273,1.3537122944388724e-43,475,0.95834305107986,0.19034305107986,62,118,1.0
25165,ENSG00000204472,ENSG00000071082_negation,8.243196603974284e-45,0.5480769230769231,0.9974747474747475,1.3686942009862421e-42,526,1.1103275795841043,0.22432757958410438,11,119,0.0
36017,ENSG00000130066,ENSG00000011600,2.694271317648469e-48,0.7596153846153846,0.9419191919191919,6.780023099660939e-46,352,0.7111226901835483,0.14112269018354828,188,120,1.0
75503,ENSG00000011600,ENSG00000122406_negation,2.694271317648469e-48,0.7596153846153846,0.9419191919191919,6.780023099660939e-46,353,0.7111955057175289,0.14119550571752884,187,121,0.0
80508,ENSG00000142676_negation,ENSG00000213402_negation,1.569049397004282e-46,0.7019230769230769,0.9595959595959596,3.0245936742547994e-44,442,0.8461926452349655,0.16819264523496547,100,122,1.0
26539,ENSG00000196126,ENSG00000011600,1.1095805358438547e-45,0.625,0.9823232323232324,1.9992930746358107e-43,492,0.9700251787476547,0.19202517874765473,51,123,1.0
25275,ENSG00000204472,ENSG00000108107_negation,8.058445499365092e-45,0.5865384615384616,0.98989898989899,1.3635043279125726e-42,524,1.0480005208307213,0.2120005208307213,20,124,0.0
75509,ENSG00000011600,ENSG00000197756_negation,7.269092596586126e-46,0.6442307692307693,0.9772727272727273,1.3537122944388724e-43,477,0.9356229699164536,0.1856229699164535,71,125,0.0
36114,ENSG00000130066,ENSG00000213402_negation,3.5025934584312043e-48,0.7692307692307693,0.9368686868686869,8.715374776075695e-46,357,0.7081554336073639,0.14015543360736385,193,126,1.0
9709,ENSG00000196154,ENSG00000197756_negation,9.45687602025401e-47,0.5673076923076923,0.9974747474747475,1.9311810431153654e-44,431,0.8103077312714083,0.16230773127140832,120,127,1.0
86279,ENSG00000166441_negation,ENSG00000213402_negation,2.152636450880251e-47,0.7403846153846154,0.946969696969697,4.721502433781323e-45,403,0.769065724137662,0.15306572413766203,149,128,1.0
86645,ENSG00000213402_negation,ENSG00000167526_negation,2.152636450880251e-47,0.7403846153846154,0.946969696969697,4.721502433781323e-45,404,0.7687959945628542,0.15279599456285417,151,129,1.0
77598,ENSG00000087086,ENSG00000197728_negation,8.621014984816556e-49,0.625,0.98989898989899,2.348704269458182e-46,325,0.6537673414433586,0.1317673414433586,230,130,0.0
21152,ENSG00000170458,ENSG00000087086,1.6833814485629437e-47,0.5576923076923077,1.0,3.719812374559573e-45,390,0.7534235249057945,0.15142352490579444,170,131,1.0
77536,ENSG00000087086,ENSG00000071082_negation,1.6833814485629437e-47,0.5576923076923077,1.0,3.719812374559573e-45,391,0.7534235249057945,0.15142352490579444,171,132,0.0
25169,ENSG00000204472,ENSG00000144713_negation,1.3328892606285477e-44,0.5288461538461539,1.0,2.0845402449101148e-42,568,1.1377552520967429,0.22975525209674302,5,133,0.0
77637,ENSG00000087086,ENSG00000105193_negation,5.741274725771451e-48,0.6057692307692307,0.9924242424242424,1.4011076240796808e-45,361,0.6811504846939107,0.13715048469391072,213,134,0.0
81743,ENSG00000071082_negation,ENSG00000213402_negation,9.216692864887739e-45,0.625,0.9797979797979798,1.5161630442237828e-42,537,0.9857512569870537,0.1957512569870537,41,135,0.0
84393,ENSG00000231500_negation,ENSG00000213402_negation,9.04521552778159e-47,0.7403846153846154,0.9444444444444444,1.8861397665454613e-44,426,0.7615332381572771,0.15153323815727715,159,136,0.0
25158,ENSG00000204472,ENSG00000065978_negation,9.216692864887739e-45,0.625,0.9797979797979798,1.5161630442237828e-42,539,0.9778854235566682,0.19788542355666827,48,137,0.0
79054,ENSG00000100097,ENSG00000166710_negation,1.1358321972457437e-48,0.6442307692307693,0.9848484848484849,2.9588595282562068e-46,337,0.6189367563093607,0.1229367563093608,252,138,1.0
25279,ENSG00000204472,ENSG00000198763_negation,3.3748887001838104e-45,0.6538461538461539,0.9722222222222222,5.8281504397301195e-43,514,0.9255363441955515,0.1875363441955515,75,139,0.0
25192,ENSG00000204472,ENSG00000198755_negation,7.477213274088919e-44,0.5384615384615384,0.9974747474747475,1.1200815048070705e-41,587,1.1203055589763706,0.22630555897637075,8,140,0.0
75555,ENSG00000011600,ENSG00000177600_negation,9.216692864887739e-45,0.625,0.9797979797979798,1.5161630442237828e-42,538,0.9630569080932524,0.19105690809325246,58,141,0.0
