,0,1,2,3,4,5,6,7
153,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
154,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
155,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
156,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
157,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
158,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
159,3.0,3.0,2.0,0.0,3.0,2.0,3.0,4.0
160,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
161,3.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0
162,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
163,3.0,4.0,2.0,0.0,3.0,2.0,1.0,0.0
164,3.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0
165,3.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0
166,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
167,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
168,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
169,3.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0
170,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
171,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
172,3.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0
173,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
174,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
175,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
176,3.0,0.0,2.0,1.0,3.0,2.0,1.0,4.0
177,3.0,0.0,2.0,0.0,3.0,2.0,1.0,4.0
178,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
179,3.0,3.0,2.0,0.0,3.0,2.0,1.0,4.0
180,3.0,0.0,2.0,0.0,3.0,2.0,1.0,4.0
181,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
182,3.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0
183,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
184,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
185,3.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0
186,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
187,3.0,0.0,3.0,3.0,1.0,2.0,1.0,4.0
188,3.0,0.0,2.0,0.0,3.0,2.0,1.0,2.0
189,3.0,0.0,2.0,0.0,1.0,2.0,3.0,4.0
